#afm_flds.table_name,field_name,ml_heading,afm_type,allow_null,comments,data_type,decimals,dep_cols,dflt_val,edit_group,edit_mask,enum_list,is_atxt,max_val,min_val,afm_module,num_format,primary_key,ref_table,review_group,afm_size,sl_heading,string_format,is_tc_traceable,field_grouping,attributes,validate_data
#331 records written,,,,,,,,,,,,,,,,,,,,,,,,,,,
resrsview,date_created,"Date
Created","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,date_last_modified,"Date Last
Modified","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,date_rejected,"Date
Rejected","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,date_start,"Date
Start","2,070",0,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
resrsview,fl_id,"Floor
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
resrsview,quantity,"Requested
Quantity","2,070",0,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
resrsview,recurring_order,"Recurring
Order","2,070",0,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
resrsview,res_id,"Reservation
Code","2,070",0,Reservations-v16.3,4,0,res_id,,,,,0,,,20,2,0,resview,,10,,25,0,,,0
resrsview,resource_id,"Resource
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,10,0,,,1
resrsview,rm_id,"Room
Code","2,070",0,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
resrsview,rsres_id,"Resource Reservation
Code","2,070",0,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
resrsview,status,"Status of
Resource Reservation","2,070",0,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed,0,,,20,0,0,,,16,,5,0,,,1
resrsview,time_end,"Time
End","2,070",0,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
resrsview,time_start,"Time
Start","2,070",0,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
resrsview,user_last_modified_by,"Last
Modified By","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
rrappdet,bl_id,"Building
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrappdet,config_id,"Configuration
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrappdet,ctry_id,"Country
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrappdet,date_start,"Date
Start","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrappdet,fl_id,"Floor
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
rrappdet,quantity,Quantity or Guests #,"2,070",1,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
rrappdet,res_id,"Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
rrappdet,resource_id,"Resource
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,10,0,,,1
rrappdet,rm_arrange_type_id,"Room
Arrangement Type","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,5,0,,,1
rrappdet,rm_id,"Room
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrappdet,site_id,"Site
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,5,0,,,1
rrappdet,status,"Status of
Room Reservation","2,070",1,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed,0,,,20,0,0,,,16,,5,0,,,1
rrappdet,time_end,"Time
End","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrappdet,time_start,"Time
Start","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrappdet,user_requested_by,"Requested
By","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
rrcostdet,bl_id,"Building
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrcostdet,config_id,"Configuration
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrcostdet,cost,Cost,"2,070",1,Reservations-v16.3,2,2,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrcostdet,ctry_id,"Country
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrcostdet,date_start,"Date
Start","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrcostdet,dp_id,"Department
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrcostdet,dv_id,"Division
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrcostdet,fl_id,"Floor
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
rrcostdet,quantity,Quantity or Guests #,"2,070",1,Reservations-v16.3,5,0,,,,,,0,,,20,0,0,,,3,,25,0,,,1
rrcostdet,res_id,"Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,2,1,,,10,,25,0,,,1
rrcostdet,reservation_name,"Reservation
Name","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,64,,5,0,,,1
rrcostdet,resource_id,"Resource
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,10,0,,,1
rrcostdet,rm_arrange_type_id,"Room
Arrangement Type","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,5,0,,,1
rrcostdet,rm_id,"Room
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrcostdet,site_id,"Site
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,5,0,,,1
rrcostdet,status,"Status of
Room Reservation","2,070",1,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed,0,,,20,0,0,,,16,,5,0,,,1
